GA Hiperparametri (C++):
  Velicina populacije: 1000
  Broj generacija: 100
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 1
  Elitizam: 30
  Broj pokretanja: 15

  Pokretanje 1: 88686 dinara  (0.11s)
  Pokretanje 2: 88324 dinara  (0.08s)
  Pokretanje 3: 88546 dinara  (0.15s)
  Pokretanje 4: 88760 dinara  (0.08s)
  Pokretanje 5: 88665 dinara  (0.08s)
  Pokretanje 6: 88798 dinara  (0.08s)
  Pokretanje 7: 88592 dinara  (0.08s)
  Pokretanje 8: 88409 dinara  (0.08s)
  Pokretanje 9: 88323 dinara  (0.08s)
  Pokretanje 10: 88602 dinara  (0.08s)
  Pokretanje 11: 88627 dinara  (0.08s)
  Pokretanje 12: 88529 dinara  (0.08s)
  Pokretanje 13: 88560 dinara  (0.08s)
  Pokretanje 14: 88566 dinara  (0.08s)
  Pokretanje 15: 88549 dinara  (0.08s)

  PROSEK:   88569.1
  MEDIJANA: 88566.0
  NAJBOLJI: 88798
    Gen   53: 87929
    Gen   54: 87933
    Gen   55: 87951
    Gen   56: 87981
    Gen   57: 88003
    Gen   58: 88033
    Gen   59: 88033
    Gen   60: 88037
    Gen   61: 88040
    Gen   62: 88047
    Gen   63: 88070
    Gen   64: 88073
    Gen   65: 88094
    Gen   66: 88108
    Gen   67: 88115
    Gen   68: 88115
    Gen   69: 88121
    Gen   70: 88126
    Gen   71: 88147
    Gen   72: 88168
    Gen   73: 88174
    Gen   74: 88188
    Gen   75: 88188
    Gen   76: 88191
    Gen   77: 88196
    Gen   78: 88205
    Gen   79: 88215
    Gen   80: 88215
    Gen   81: 88215
    Gen   82: 88215
    Gen   83: 88228
    Gen   84: 88246
    Gen   85: 88256
    Gen   86: 88256
    Gen   87: 88256
    Gen   88: 88269
    Gen   89: 88274
    Gen   90: 88283
    Gen   91: 88286
    Gen   92: 88296
    Gen   93: 88302
    Gen   94: 88302
    Gen   95: 88307
    Gen   96: 88310
    Gen   97: 88313
    Gen   98: 88321
    Gen   99: 88323

  Pokretanje 10:
    Gen    0: 72857
    Gen    1: 76515
    Gen    2: 77649
    Gen    3: 79721
    Gen    4: 80801
    Gen    5: 81776
    Gen    6: 83177
    Gen    7: 83208
    Gen    8: 83747
    Gen    9: 84394
    Gen   10: 84394
    Gen   11: 84791
    Gen   12: 84873
    Gen   13: 85520
    Gen   14: 85588
    Gen   15: 85789
    Gen   16: 85921
    Gen   17: 86141
    Gen   18: 86382
    Gen   19: 86561
    Gen   20: 86754
    Gen   21: 86837
    Gen   22: 86937
    Gen   23: 86942
    Gen   24: 87001
    Gen   25: 87178
    Gen   26: 87178
    Gen   27: 87324
    Gen   28: 87381
    Gen   29: 87469
    Gen   30: 87528
    Gen   31: 87671
    Gen   32: 87760
    Gen   33: 87760
    Gen   34: 87778
    Gen   35: 87800
    Gen   36: 87818
    Gen   37: 87858
    Gen   38: 87879
    Gen   39: 87916
    Gen   40: 87946
    Gen   41: 87973
    Gen   42: 88045
    Gen   43: 88075
    Gen   44: 88112
    Gen   45: 88131
    Gen   46: 88165
    Gen   47: 88184
    Gen   48: 88199
    Gen   49: 88214
    Gen   50: 88238
    Gen   51: 88244
    Gen   52: 88253
    Gen   53: 88287
    Gen   54: 88287
    Gen   55: 88287
    Gen   56: 88317
    Gen   57: 88317
    Gen   58: 88334
    Gen   59: 88342
    Gen   60: 88354
    Gen   61: 88358
    Gen   62: 88372
    Gen   63: 88386
    Gen   64: 88400
    Gen   65: 88403
    Gen   66: 88415
    Gen   67: 88447
    Gen   68: 88447
    Gen   69: 88447
    Gen   70: 88463
    Gen   71: 88463
    Gen   72: 88466
    Gen   73: 88478
    Gen   74: 88478
    Gen   75: 88490
    Gen   76: 88494
    Gen   77: 88498
    Gen   78: 88510
    Gen   79: 88513
    Gen   80: 88513
    Gen   81: 88520
    Gen   82: 88541
    Gen   83: 88543
    Gen   84: 88548
    Gen   85: 88556
    Gen   86: 88556
    Gen   87: 88558
    Gen   88: 88565
    Gen   89: 88565
    Gen   90: 88566
    Gen   91: 88575
    Gen   92: 88575
    Gen   93: 88576
    Gen   94: 88577
    Gen   95: 88585
    Gen   96: 88588
    Gen   97: 88602
    Gen   98: 88602
    Gen   99: 88602

  Pokretanje 11:
    Gen    0: 73788
    Gen    1: 76213
    Gen    2: 78679
    Gen    3: 79836
    Gen    4: 81094
    Gen    5: 82084
    Gen    6: 83037
    Gen    7: 83782
    Gen    8: 84200
    Gen    9: 84618
    Gen   10: 84679
    Gen   11: 84985
    Gen   12: 85203
    Gen   13: 85508
